# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2017-08-13 07:48:51.261069
4.668548158369794088e-01,4.555384365946046898e-01,-7.623521199790879166e-01,2.202081602657318449e+00
-2.053763404416351079e-01,1.917476143508223263e+00,1.520897222631844903e+00,-9.204644055167410244e-02
1.163876825993714004e+00,2.173081987084242606e+00,1.196197084341708461e+00,3.002625759255849180e-01
1.205523960449321752e-01,5.492677747415637413e-01,-3.123142110316476927e-01,1.908905877231518389e+00
1.902273134215032968e+00,2.275808094349708988e+00,-3.373856877624088479e-01,6.056475166087003092e-01
1.205664569958422305e+00,1.777482773472587985e+00,6.589517449069515198e-01,4.231401604522906368e-01
2.068410858840096012e+00,6.332393652488841340e-01,6.818472393869412507e-01,2.812499101904455401e-01
-9.462385834624833514e-01,4.924594525027929937e-01,2.254310711395182132e+00,2.154363267499572743e+00
6.197389794687568898e-01,5.300080573112067039e-01,3.330617483250539745e-01,2.558484367522427583e+00
2.126007346228298900e+00,1.147244353606683864e+00,9.829542176515513319e-01,-3.649237668392961709e-01
